Prod Name,Color,Rating,Price,RAM,Screen,Rear Camera,Front Camera,Memory,Battery,Processor
"Oppo A31 ( 64GB , 4 GB )",Black,4.4,12490,4 GB,16.51 cm (6.5),12M+2M+2M,8 MP,64GB,4100mAh,Octa
"Oppo F15 ( 128GB , 4 GB )",Black,3.7,16990,4 GB,16.25 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4000mAh,Octa
"Oppo A52 ( 128GB , 6 GB )",Black,3.8,16990,6 GB,16.51 cm (6.5),12+8+2+2MP,16 MP,128GB,5000 mAh,Octa
"Oppo F17 Pro ( 128GB , 8 GB )",Black,5.0,21490,8 GB,16.256 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4015 mAh,Octa
"Oppo F17 ( 128GB , 8 GB )",Orange,Currently Unavailable,18490,8 GB,16.25 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
"Oppo A53 ( 64GB , 4 GB )",White,4.5,12990,4 GB,16.51 cm (6.5),13MP + 2MP + 2MP,16 MP,64GB,5000 mAh,Quad
"Oppo A5 2020 ( 64GB , 4 GB )",Black,4.0,13990,4 GB,16.51 cm (6.5),12 MP,8 MP,64GB,5000 mAH Lithium Polymer,Octa
"Micromax Yu Yutopia 5050 ( 32GB , 4 GB )",Graphite,2.3,7099,4 GB,13.208 cm (5.2),21 MP,8 MP,32GB,3000,Octa
"Oppo F17 ( 128GB , 6 GB )",Blue,1.0,16990,6 GB,16.256 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
"Oppo F17 ( 128GB , 6 GB )",Silver,1.0,16990,6 GB,16.256 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
"Oppo F17 ( 128GB , 6 GB )",Orange,1.0,16990,6 GB,16.256 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
